row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRINITY_DN206253_c12_g1,397.18817653422036,-1.0635333030822625,0.25558642268055654,-4.161149453590164,3.166497657871089e-5,0.016392679589853718
TRINITY_DN206253_c14_g1,1153.3438720509214,-1.1538101534132645,0.23126093777675888,-4.9892133297801555,6.062566793630212e-7,4.894317626473236e-4
TRINITY_DN206608_c11_g1,270.1963849046045,-1.4087341438962042,0.21949638331364751,-6.418028956236629,1.3805000268649024e-10,2.3242133849734084e-7
TRINITY_DN206665_c0_g1,141.2592425041134,-1.4072464587426994,0.2799253410338906,-5.027220663713772,4.976396088745126e-7,4.1274019627585184e-4
TRINITY_DN206692_c6_g1,99.94854235588484,-1.9972379935252629,0.3135214636230856,-6.370338956845186,1.8861089505645496e-10,3.0960714187135903e-7
TRINITY_DN206772_c6_g1,115.49304310885539,-1.1173211308437396,0.2826746809381623,-3.952674951769607,7.728238621139847e-5,0.0342871508688221
TRINITY_DN206802_c1_g1,317.5180024698676,-1.063911813315777,0.212824393095218,-4.99901255604559,5.762465077124867e-7,4.7002029589634446e-4
TRINITY_DN206889_c5_g1,83.0694678149099,-1.377184945606268,0.3365517076267899,-4.092045633396283,4.2758447972604595e-5,0.021030270210525875
TRINITY_DN206947_c4_g1,42.99966852558714,-3.2196382366813254,0.5988479885345581,-5.376386492605757,7.599557045688322e-8,7.637612990792113e-5
TRINITY_DN206947_c7_g2,31.483774100099637,-3.0964152891662104,0.6364534252243987,-4.865109003183519,1.1439374435809083e-6,8.519263271936963e-4
TRINITY_DN206963_c1_g1,62.33757702954991,-1.8632283301803239,0.4140990710207456,-4.4994747889375954,6.8121557804001e-6,0.004276918270240394
TRINITY_DN207080_c0_g1,183.36550998070436,-2.67430880891394,0.665967967868494,-4.015671830994168,5.9276691497068624e-5,0.02763647717427177
TRINITY_DN207109_c1_g1,327.33810357782335,-1.9629794054530283,0.2225050333339436,-8.822179777420665,1.1225284117635956e-18,5.8188771142581774e-15
TRINITY_DN207159_c0_g1,287.00156257113827,-1.9407096526795318,0.24486070364742676,-7.925770136942619,2.2673666986315644e-15,7.90494324507068e-12
TRINITY_DN207273_c8_g1,124.28783695177002,-1.1276467112893187,0.27535741637083005,-4.095210966719311,4.217841333624671e-5,0.020822975254621255
